sku,local,gtin,nome,Nome,,,
911,B1PRE1C,7891040124596, C - 5808 Mr Rl 45Mm X 45M,Hb004031207 | C - 5808 Mr Rl 45Mm X 45M,Hb004031207 , C - 5808 Mr Rl 45Mm X 45M,
950,B1F6,7898704410415, 1110 C/Cordao Nac Cx 500 Prs 1110 Com Cordao Cx 500 Prs,H0002053355 | 1110 C/Cordao Nac Cx 500 Prs 1110 Com Cordao Cx 500 Prs,H0002053355 , 1110 C/Cordao Nac Cx 500 Prs 1110 Com Cordao Cx 500 Prs,
951,B1C3 | B1C6,7891040121403, S - Fixa Forte 113 Rl 24Mmx1.5M,HB004750186 | S - Fixa Forte 113 Rl 24Mmx1.5M,HB004750186 , S - Fixa Forte 113 Rl 24Mmx1.5M,
952,B1C3,7891040230037, S - Fixa Forte Cozinha 24Mmx1.5M,HB004750160 | S - Fixa Forte Cozinha 24Mmx1.5M,HB004750160 , S - Fixa Forte Cozinha 24Mmx1.5M,
953,B1C3,7891040226108, S - Fixa Forte Banheiro 24Mmx1,Hb004488316 | S - Fixa Forte Banheiro 24Mmx1,Hb004488316 , S - Fixa Forte Banheiro 24Mmx1,
956,B1F6,7891040205301, S - 4910 Rl 12Mmx5M Estojo,HB004522973 | S - 4910 Rl 12Mmx5M Estojo,HB004522973 , S - 4910 Rl 12Mmx5M Estojo,
957,B1PRE2E,7891040118793, S - 5802 Mr Rl 45Mmx45M,Hb004031207 | S - 5802 Mr Rl 45Mmx45M,Hb004031207 , S - 5802 Mr Rl 45Mmx45M,
958,B1F5,7891040118809, S - 5802 Tr Rl 45Mmx45M,Hb004031199 | S - 5802 Tr Rl 45Mmx45M,Hb004031199 , S - 5802 Tr Rl 45Mmx45M,
983,B1K4 | B1K6,7898472250176, Adesivo Inst 793 100G Bico Antientupimento,69957321884 | Adesivo Inst 793 100G Bico Antientupimento,69957321884, Adesivo Inst 793 100G Bico Antientupimento,
984,B1PRI4C | O,7898472253092, Adesivo Inst 793 20G Bico Antientupimento,69957321708 | Adesivo Inst 793 20G Bico Antientupimento,69957321708, Adesivo Inst 793 20G Bico Antientupimento,
985,B1PH,7898472253290, Adesivo Inst 725 50G,69957326675 | Adesivo Inst 725 50G,69957326675, Adesivo Inst 725 50G,
986,B1C3,7898472261554, Adesivo Para Artesanato T6000 25G,69957367269 | Adesivo Para Artesanato T6000 25G,69957367269, Adesivo Para Artesanato T6000 25G,
987,B1PRC4D,7898543382263, Caneta Tekbond Uv 4G,69957367191 | Caneta Tekbond Uv 4G,69957367191, Caneta Tekbond Uv 4G,
988,B1C2,7898472261592, Adesivo Araldite Profissional 23G Sga 69957366140,69957366140 | Adesivo Araldite Profissional 23G Sga 69957366140,69957366140, Adesivo Araldite Profissional 23G Sga 69957366140,
989,B1PRA3E,7898357980099, Adespec Pesilox Branco Cart 360G,17000005499 | Adespec Pesilox Branco Cart 360G,17000005499, Adespec Pesilox Branco Cart 360G,
990,B1A2,7898357980648, Adespec Pesilox Preto Cart 360G,17000000205 | Adespec Pesilox Preto Cart 360G,17000000205, Adespec Pesilox Preto Cart 360G,
997,B2K1,7899612781406, Martelo Car.Mtx Cabo Fibra 20Mm,152671 | Martelo Car.Mtx Cabo Fibra 20Mm,152671, Martelo Car.Mtx Cabo Fibra 20Mm,
998,B2PB,7891638050382, Estilete Embor. Starfer C/3 Laminas,185541 | Estilete Embor. Starfer C/3 Laminas,185541, Estilete Embor. Starfer C/3 Laminas,
1007,B1F5 | B1N,7891040149315, Durex 692 C - Durex Transp 12Mmx50M,Hb004159388 | Durex 692 C - Durex Transp 12Mmx50M,Hb004159388 , Durex 692 C - Durex Transp 12Mmx50M,
1009,C1,7898704415656, Tr Acrilico Rl 48Mmx100M Fita Adesiva Bopp P/ Embalagem,692 | Tr Acrilico Rl 48Mmx100M Fita Adesiva Bopp P/ Embalagem,692, Tr Acrilico Rl 48Mmx100M Fita Adesiva Bopp P/ Embalagem,
1012,B1PRB6,5907516959486, Pistola Aplicadora De Espuma Grafite Pro,40854 | Pistola Aplicadora De Espuma Grafite Pro,40854, Pistola Aplicadora De Espuma Grafite Pro,
1013,B1PRB6,5902120180561, Pistola Tytan Aplicadora De Espuma Caliber 30,40850 | Pistola Tytan Aplicadora De Espuma Caliber 30,40850, Pistola Tytan Aplicadora De Espuma Caliber 30,
1030,B1F5,7891040296835, S - 5802 Tr Rl 45Mmx100M,Hb004640734 | S - 5802 Tr Rl 45Mmx100M,Hb004640734 , S - 5802 Tr Rl 45Mmx100M,
1031,B1PE,7891040306817, Mr Rl 45Mmx100M 3M Tartan Fita Adesiva Bopp,5899 | Mr Rl 45Mmx100M 3M Tartan Fita Adesiva Bopp,5899, Mr Rl 45Mmx100M 3M Tartan Fita Adesiva Bopp,
1032,C1,7908712903349, C - 5808 Tr Rl 45Mm X 45M,Hb004035224 | C - 5808 Tr Rl 45Mm X 45M,Hb004035224 , C - 5808 Tr Rl 45Mm X 45M,
1106,B1PRA3E,7898543383246, Adesivo De Silicone Acetico Aquario Maxx 280G Cartucho,69957367183 | Adesivo De Silicone Acetico Aquario Maxx 280G Cartucho,69957367183, Adesivo De Silicone Acetico Aquario Maxx 280G Cartucho,
1110,B1PB,, Chave Combinada Starf 6-17Mm 8P,85088 | Chave Combinada Starf 6-17Mm 8P,85088, Chave Combinada Starf 6-17Mm 8P,
1158,B1C4 | B1C6,7898543382201, Adesivo De Silicone Acetico Aquario Maxx 50G Blister,69957367181 | Adesivo De Silicone Acetico Aquario Maxx 50G Blister,69957367181, Adesivo De Silicone Acetico Aquario Maxx 50G Blister,
1161,B1A3,7898472259629, Adesivo De Silicone Acetico Construcao 256G/270Ml Transparente,69957326982 | Adesivo De Silicone Acetico Construcao 256G/270Ml Transparente,69957326982, Adesivo De Silicone Acetico Construcao 256G/270Ml Transparente,
1162,B1PRA4D,7898904869525, Adesivo De Silicone Acetico 280G Preto,69957321903 | Adesivo De Silicone Acetico 280G Preto,69957321903, Adesivo De Silicone Acetico 280G Preto,
1164,B1C4,7898904869174, Adesivo De Silicone Acetico 50G Preto Blister Alta Temp,69957321915 | Adesivo De Silicone Acetico 50G Preto Blister Alta Temp,69957321915, Adesivo De Silicone Acetico 50G Preto Blister Alta Temp,
1348,B1E3,7891040001521, Brilha Inox Scotch-Brite 400Ml Brilha Inox Scotch-Brite 400Ml,Hb004511075 | Brilha Inox Scotch-Brite 400Ml Brilha Inox Scotch-Brite 400Ml,Hb004511075 , Brilha Inox Scotch-Brite 400Ml Brilha Inox Scotch-Brite 400Ml,
1355,B1C4,7898357980358, Adespec Fix Tudo 20G,17000000660 | Adespec Fix Tudo 20G,17000000660, Adespec Fix Tudo 20G,
1358,B1K3 | B1K6,7898472262834, Fita Antiderrapante Preta 50Mmx5M,78072708138 | Fita Antiderrapante Preta 50Mmx5M,78072708138, Fita Antiderrapante Preta 50Mmx5M,
1359,B1K3 | B1K6,7898472262841, Fita Antiderrapante Transp 50Mmx5M,78072708139 | Fita Antiderrapante Transp 50Mmx5M,78072708139, Fita Antiderrapante Transp 50Mmx5M,
1360,B1H8 | B1M,7898472262179, Feltro Redondo 20Mm Preto Cart C/24 Un,78072708140 | Feltro Redondo 20Mm Preto Cart C/24 Un,78072708140, Feltro Redondo 20Mm Preto Cart C/24 Un,
1361,B1H8 | B1M,7898472262254, Feltro Quadrado 22Mm Preto Cart C/16 Un,78072708149 | Feltro Quadrado 22Mm Preto Cart C/16 Un,78072708149, Feltro Quadrado 22Mm Preto Cart C/16 Un,
1362,B2PA,7898472262322, Feltro Kit Preto Pct C/40 Un,78072708157 | Feltro Kit Preto Pct C/40 Un,78072708157, Feltro Kit Preto Pct C/40 Un,
1408,B2K1,7891638042004, Catraca P/ Soquete Starfer 1/4,3055833 | Catraca P/ Soquete Starfer 1/4,3055833, Catraca P/ Soquete Starfer 1/4,
1409,B2K1,7891638040628, Catraca P/ Soquete Starfer 1/2,3055851 | Catraca P/ Soquete Starfer 1/2,3055851, Catraca P/ Soquete Starfer 1/2,
1410,B1PB,, Chave Combinada Starf 6-22 12P,85089 | Chave Combinada Starf 6-22 12P,85089, Chave Combinada Starf 6-22 12P,
1411,B1PB,, Jg Chave Combin.Starfer 6 A 32(16P) - (Código:85090),85090 | Jg Chave Combin.Starfer 6 A 32(16P) - (Código:85090),85090, Jg Chave Combin.Starfer 6 A 32(16P) - (Código:85090),
1412,B1PB,, Chave Estrela Starfer 6-17 6P,1412 | Chave Estrela Starfer 6-17 6P,1412, Chave Estrela Starfer 6-17 6P,
1413,B1PB,7891638012908, Chave Estrela Starfer 6-22 8P,3502589 | Chave Estrela Starfer 6-22 8P,3502589, Chave Estrela Starfer 6-22 8P,
1414,B1PB,, Jg Chave Fixa Starfer 6 A 17 (06P),85098 | Jg Chave Fixa Starfer 6 A 17 (06P),85098, Jg Chave Fixa Starfer 6 A 17 (06P),
1415,B1PB,, Chave Fixa Starfer 6-22 8P,85099 | Chave Fixa Starfer 6-22 8P,85099, Chave Fixa Starfer 6-22 8P,
1416,B1PB,7898704412150, Chave Fixa Starfer 6-32 12P,3502295 | Chave Fixa Starfer 6-32 12P,3502295, Chave Fixa Starfer 6-32 12P,
1417,B1PB,, Jg Chave Allen Starfer 1.5 A 08,85102 | Jg Chave Allen Starfer 1.5 A 08,85102, Jg Chave Allen Starfer 1.5 A 08,
1418,B1PB,, Jg Chave Allen Starfer 1.5 A 06,85101 | Jg Chave Allen Starfer 1.5 A 06,85101, Jg Chave Allen Starfer 1.5 A 06,
1419,B1PE,, Jg Chave Allen Starfer 1.5 A 10,85103 | Jg Chave Allen Starfer 1.5 A 10,85103, Jg Chave Allen Starfer 1.5 A 10,
1448,B1O,7898704410804, Ved Adesivo Acrilico Pl S/Grav Marrom,1186-014 | Ved Adesivo Acrilico Pl S/Grav Marrom,1186-014 , Ved Adesivo Acrilico Pl S/Grav Marrom,
1449,B1O,7898704410811, Ved Adesivo Acrilico Pl S/Grav Preto,1186-013 | Ved Adesivo Acrilico Pl S/Grav Preto,1186-013 , Ved Adesivo Acrilico Pl S/Grav Preto,
1450,B1O,7898704410798, Ved Adesivo Acrilico Pl S/Grav Cinza,1186-012 | Ved Adesivo Acrilico Pl S/Grav Cinza,1186-012 , Ved Adesivo Acrilico Pl S/Grav Cinza,
1451,B1O,7898704410774, Ved Adesivo Acrilico Pl S/Grav Bege,1186-016 | Ved Adesivo Acrilico Pl S/Grav Bege,1186-016 , Ved Adesivo Acrilico Pl S/Grav Bege,
1452,B2ARA,7899462625820, 74M Ribbon Cera 110X74 Inkanto,Awr1 | 74M Ribbon Cera 110X74 Inkanto,Awr1 , 74M Ribbon Cera 110X74 Inkanto,
1455,B1C2,7898543383574, Cola De Contato 200G,78072716135 | Cola De Contato 200G,78072716135, Cola De Contato 200G,
1457,B1C2,7898472261776, Adesivo Araldite Hobby 16G Sga 69957366144,69957366144 | Adesivo Araldite Hobby 16G Sga 69957366144,69957366144, Adesivo Araldite Hobby 16G Sga 69957366144,
1458,B1K4 | B1K6,7898472250503, Cola De Silicone Para Artesanato 85G/100Ml,69957367267 | Cola De Silicone Para Artesanato 85G/100Ml,69957367267, Cola De Silicone Para Artesanato 85G/100Ml,
1459,B1PRC5C,7898472253931, Acelerador Qfs Aerossol 100Ml,69957367274 | Acelerador Qfs Aerossol 100Ml,69957367274, Acelerador Qfs Aerossol 100Ml,
1460,B1C4,7898472261660, Preg Facil Tekbond 85G Blister,78072704644 | Preg Facil Tekbond 85G Blister,78072704644, Preg Facil Tekbond 85G Blister,
1463,B1F1,7898472252521, Tekspray Silicone Spray 300 Ml,69957367256 | Tekspray Silicone Spray 300 Ml,69957367256, Tekspray Silicone Spray 300 Ml,
1464,B1E4 | B1E6,7898543380917, Tinta Aerossol Preto Fosco Uso Geral 350 Ml/250G,23001006900 | Tinta Aerossol Preto Fosco Uso Geral 350 Ml/250G,23001006900, Tinta Aerossol Preto Fosco Uso Geral 350 Ml/250G,
1465,B1E5,7898543380931, Tinta Aerossol Branco Brilhante Uso Geral 350 Ml/250G,23021006900 | Tinta Aerossol Branco Brilhante Uso Geral 350 Ml/250G,23021006900, Tinta Aerossol Branco Brilhante Uso Geral 350 Ml/250G,
1466,B1E4 | B1E6,7898543380962, Tinta Aerossol Dourado Uso Geral 350 Ml/250G,69957327168 | Tinta Aerossol Dourado Uso Geral 350 Ml/250G,69957327168, Tinta Aerossol Dourado Uso Geral 350 Ml/250G,
1467,B1E5,7898543381082, Verniz Aerossol Brilhante Uso Geral 350 Ml/250G,69957366619 | Verniz Aerossol Brilhante Uso Geral 350 Ml/250G,69957366619, Verniz Aerossol Brilhante Uso Geral 350 Ml/250G,
1468,B1E5,7898543381105, Primer Fundo Aerossol Uso Geral 350 Ml/250G,69957366620 | Primer Fundo Aerossol Uso Geral 350 Ml/250G,69957366620, Primer Fundo Aerossol Uso Geral 350 Ml/250G,
1469,B1E5 | B1E6,7898543381129, Tinta Aerossol Verde Fluorescente 350 Ml/250G,69957327146 | Tinta Aerossol Verde Fluorescente 350 Ml/250G,69957327146, Tinta Aerossol Verde Fluorescente 350 Ml/250G,
1470,B1E5,7898543381136, Tinta Aerossol Amarelo Fluorescente 350 Ml/250G,69957327147 | Tinta Aerossol Amarelo Fluorescente 350 Ml/250G,69957327147, Tinta Aerossol Amarelo Fluorescente 350 Ml/250G,
1471,B1E5,7898543381143, Tinta Aerossol Laranja Fluorescente 350 Ml/250G,69957327148 | Tinta Aerossol Laranja Fluorescente 350 Ml/250G,69957327148, Tinta Aerossol Laranja Fluorescente 350 Ml/250G,
1472,B1E5,7898543381150, Tinta Aerossol Rosa Fluorescente 350 Ml/250G,69957327149 | Tinta Aerossol Rosa Fluorescente 350 Ml/250G,69957327149, Tinta Aerossol Rosa Fluorescente 350 Ml/250G,
1473,B1E5,7898543382348, Tinta Aerossol Preto Fosco Alta Temperatura 350Ml / 250G,69957366618 | Tinta Aerossol Preto Fosco Alta Temperatura 350Ml / 250G,69957366618, Tinta Aerossol Preto Fosco Alta Temperatura 350Ml / 250G,
1474,B1E5,7898543381167, Tinta Aerossol Preto Alta Temperatura 350 Ml/250G,69957327150 | Tinta Aerossol Preto Alta Temperatura 350 Ml/250G,69957327150, Tinta Aerossol Preto Alta Temperatura 350 Ml/250G,
1475,B1E5 | B1E6,7898543381174, Tinta Aerossol Aluminio Alta Temperatura 350 Ml/250G,69957327151 | Tinta Aerossol Aluminio Alta Temperatura 350 Ml/250G,69957327151, Tinta Aerossol Aluminio Alta Temperatura 350 Ml/250G,
1476,B1E3 | B1E6,7898543381273, Tinta Aerossol Prata Metalico 350 Ml/250G,69957327166 | Tinta Aerossol Prata Metalico 350 Ml/250G,69957327166, Tinta Aerossol Prata Metalico 350 Ml/250G,
1477,B1PRC5D,7898543383291, Esponja Magica Embalagem,78072720328 | Esponja Magica Embalagem,78072720328, Esponja Magica Embalagem,
1479,B1K3 | B1N,21200847684, C - H-190 Apar Dispens Manual,HB004566095 | C - H-190 Apar Dispens Manual,HB004566095 , C - H-190 Apar Dispens Manual,
1487,B2C,7898455244253, Pb 032 Pa 40G Se,1443 | Pb 032 Pa 40G Se,1443, Pb 032 Pa 40G Se,
1488,B1C2 | B1C6,7898455241047, Pb Adesivo De Contato Ambar 75G Unid. Cartucho Ce,267 | Pb Adesivo De Contato Ambar 75G Unid. Cartucho Ce,267, Pb Adesivo De Contato Ambar 75G Unid. Cartucho Ce,
1489,B1C4,7898455240521, Pb Kit Adesivo Epoxi Promadite 10 Min. 40G 01 Kit. Blister,254 | Pb Kit Adesivo Epoxi Promadite 10 Min. 40G 01 Kit. Blister,254, Pb Kit Adesivo Epoxi Promadite 10 Min. 40G 01 Kit. Blister,
1490,B1PRE1,7891040119110, Silver Tape Rl 45Mmx5M 3M Silver Tape Rl 45Mmx5M,Hb004557912 | Silver Tape Rl 45Mmx5M 3M Silver Tape Rl 45Mmx5M,Hb004557912 , Silver Tape Rl 45Mmx5M 3M Silver Tape Rl 45Mmx5M,
1491,B1C2 | B1C6,7898704417735, Fita Isolante 33+ 19Mmx10M,Hb004162143 | Fita Isolante 33+ 19Mmx10M,Hb004162143 , Fita Isolante 33+ 19Mmx10M,
1492,B1F2 | B1F6,7891040305056, Virtua Lente Transp Ar Virtua Lente Transp Ar,Hb004660195 | Virtua Lente Transp Ar Virtua Lente Transp Ar,Hb004660195 , Virtua Lente Transp Ar Virtua Lente Transp Ar,
1559,A1A,7898704415403, Papel Sulfite Report Premium A4 75G 500 Folhas,93162 | Papel Sulfite Report Premium A4 75G 500 Folhas,93162, Papel Sulfite Report Premium A4 75G 500 Folhas,
1560,A1A,7891191001098, Papel Sulfite Senninha Branco A4 75G 100 Folhas,20061135 | Papel Sulfite Senninha Branco A4 75G 100 Folhas,20061135, Papel Sulfite Senninha Branco A4 75G 100 Folhas,
1561,A1A,7891191001135, Papel Sulfite Senninha Amarelo A4 75G 100 Folhas,22835 | Papel Sulfite Senninha Amarelo A4 75G 100 Folhas,22835, Papel Sulfite Senninha Amarelo A4 75G 100 Folhas,
1562,A1A,7891191001173, Papel Sulfite Senninha Rosa A4 75G 100 Folhas,22835 | Papel Sulfite Senninha Rosa A4 75G 100 Folhas,22835, Papel Sulfite Senninha Rosa A4 75G 100 Folhas,
1563,A1A,7891191001159, Papel Sulfite Senninha Verde A4 75G 100 Folhas,22835 | Papel Sulfite Senninha Verde A4 75G 100 Folhas,22835, Papel Sulfite Senninha Verde A4 75G 100 Folhas,
1564,A1A,7908712906364, Papel Sulfite Senninha Azul A4 75G 100 Folhas,22835 | Papel Sulfite Senninha Azul A4 75G 100 Folhas,22835, Papel Sulfite Senninha Azul A4 75G 100 Folhas,
1615,B1H6 | B2,7891040177967, S - Anti-Risco Quadrado Preto M,HB004262836 | S - Anti-Risco Quadrado Preto M,HB004262836 , S - Anti-Risco Quadrado Preto M,
1616,B1H6,7891040178025, S - Anti-Risco Redondo Preto P,HB004262885 | S - Anti-Risco Redondo Preto P,HB004262885 , S - Anti-Risco Redondo Preto P,
1617,B1H7 | B2,7891040177806, S - Feltro Branco Quadrado M,HB004262596 | S - Feltro Branco Quadrado M,HB004262596 , S - Feltro Branco Quadrado M,
1618,B1H7 | B2,7891040177820, S - Feltro Branco Redondo P,HB004262646 | S - Feltro Branco Redondo P,HB004262646 , S - Feltro Branco Redondo P,
1619,B1H7 | B2,7891040177875, S - Feltro Marrom Quadrado P,HB004262661 | S - Feltro Marrom Quadrado P,HB004262661 , S - Feltro Marrom Quadrado P,
1620,B1H7 | B2,7891040177813, S - Feltro Marrom Redondo P,HB004262687 | S - Feltro Marrom Redondo P,HB004262687 , S - Feltro Marrom Redondo P,
1622,B1F5,7891040219247, C - 101La Rl 18Mmx50M Pc New,Hb004572341 | C - 101La Rl 18Mmx50M Pc New,Hb004572341 , C - 101La Rl 18Mmx50M Pc New,
1623,B1PRE2,7891040216345, C - 101La Rl 24Mmx50M Pc New,Hb004572374 | C - 101La Rl 24Mmx50M Pc New,Hb004572374 , C - 101La Rl 24Mmx50M Pc New,
1624,B1F5,7891040219285, 101La Rl 48Mmx50M Pc New 3M 101La Fita Crepe,Hb004572382 | 101La Rl 48Mmx50M Pc New 3M 101La Fita Crepe,Hb004572382 , 101La Rl 48Mmx50M Pc New 3M 101La Fita Crepe,
1631,B1A3 | B1A1,7898913657502, Selante Tytan Base Dagua 280G Incolor,40913 | Selante Tytan Base Dagua 280G Incolor,40913, Selante Tytan Base Dagua 280G Incolor,
1634,B1F6,7891040224746, S - 4910 Rl 19Mmx5M Estojo,Hb004459218 | S - 4910 Rl 19Mmx5M Estojo,Hb004459218 , S - 4910 Rl 19Mmx5M Estojo,
1688,B1PRI4D,7908712901598, Hig Asseptel Cristal 52G,6445 | Hig Asseptel Cristal 52G,6445, Hig Asseptel Cristal 52G,
1692,C1,7891040221516, 4950 Rl 19Mmx33M Fita Acrilica Vhb Branca,Hb004670970 | 4950 Rl 19Mmx33M Fita Acrilica Vhb Branca,Hb004670970 , 4950 Rl 19Mmx33M Fita Acrilica Vhb Branca,
1696,B1AMA,7898250711639, 110Mm X 450M K115 Out - Ttr,10140001 | 110Mm X 450M K115 Out - Ttr,10140001, 110Mm X 450M K115 Out - Ttr,
1703,B1K5,7891040102525, Refil Rolo Adesivo Tira Pelos,Hb004337398 | Refil Rolo Adesivo Tira Pelos,Hb004337398 , Refil Rolo Adesivo Tira Pelos,
1717,B1K3,7891040243693, S - Ig-110Wf Rl 19Mmx5M Estojo,HB004543391 | S - Ig-110Wf Rl 19Mmx5M Estojo,HB004543391 , S - Ig-110Wf Rl 19Mmx5M Estojo,
1725,B1A2,7898904869198, Adesivo De Silicone Acetico 280G Transparente,69957321897 | Adesivo De Silicone Acetico 280G Transparente,69957321897, Adesivo De Silicone Acetico 280G Transparente,
1726,B1PLAC,7898904869419, Adesivo De Silicone Acetico 280G Branco,69957321900 | Adesivo De Silicone Acetico 280G Branco,69957321900, Adesivo De Silicone Acetico 280G Branco,
1831,A1G1,7908712916141, 904 - Etiqueta Couche Branca 50Mm X 40Mm X 2Col Rolo,904 | 904 - Etiqueta Couche Branca 50Mm X 40Mm X 2Col Rolo,904, 904 - Etiqueta Couche Branca 50Mm X 40Mm X 2Col Rolo,
20190,B1PRI4D,7898704416851, S - Aura 9320+Br Pff2 Z,HB004385173 | S - Aura 9320+Br Pff2 Z,HB004385173 , S - Aura 9320+Br Pff2 Z,
20191,B1H8,7898472262292, Feltro Quadrado 22Mm Branco Cart C/16 Un,78072708152 | Feltro Quadrado 22Mm Branco Cart C/16 Un,78072708152, Feltro Quadrado 22Mm Branco Cart C/16 Un,
20340,B2I1,7898704415168, Caneta Marca Texto Grifpen Amarela,Mt/Amzf | Caneta Marca Texto Grifpen Amarela,Mt/Amzf , Caneta Marca Texto Grifpen Amarela,
20383,B2I2,7897372113055, Adaptador Bluetooth 5.0 Receptor De Musica Cabo P2 30 Centimetros,Ad0246Sk | Adaptador Bluetooth 5.0 Receptor De Musica Cabo P2 30 Centimetros,Ad0246Sk , Adaptador Bluetooth 5.0 Receptor De Musica Cabo P2 30 Centimetros,
